"Date","Query","User ID","Conversation ID"
"2026-05-08T17:57:16.632Z","After completing the internship when will the certificate come","696e6148e8b1b38ac5e65b69","cc5324d3-18ab-4677-ab05-db2ff699c2e5"
"2026-05-08T13:02:49.905Z","HI","69f73880d1ca14e21a69a286","53e56042-0694-4d82-b887-df7a59d4af3c"
"2026-05-07T13:50:54.531Z","what is the ejection policy?","69988ad390760148227d5587","a3207fa1-3051-4dab-97dd-65281744e452"
"2026-05-07T00:30:21.604Z","Projects","6995e3033c35d917fec63779","2d440eef-9988-4570-9bad-805afaa8c019"
"2026-05-06T14:27:20.868Z","what is vicharanshala","69b3e33bb0d076e11b7f8fb5","fc57b1cf-7508-4d8a-8c9e-e9049d6565a5"
"2026-05-06T14:26:40.504Z","i have few dbt regarding the vled itnernship","69b3e33bb0d076e11b7f8fb5","fc57b1cf-7508-4d8a-8c9e-e9049d6565a5"
"2026-05-06T01:47:17.166Z","Who are akshians, Generate the response in telugu language","69988ad390760148227d5587","9cbf260d-7950-491d-a461-a6dde6215b08"
"2026-05-05T16:20:44.826Z","i recieved a email for this intership but i miss the mail is arrive at fabuary and i see today what i do noe is i eligible to adopt this intership now","69fa1827d1ca14e21a69a594","7ddab35b-bdad-4f32-8d51-29ba71f912c6"
"2026-05-05T16:19:09.329Z","can you give me a information about Vinternship","69fa1827d1ca14e21a69a594","7ddab35b-bdad-4f32-8d51-29ba71f912c6"
"2026-05-05T16:18:38.460Z","hello","69fa1827d1ca14e21a69a594","7ddab35b-bdad-4f32-8d51-29ba71f912c6"
"2026-05-03T17:59:48.069Z","Tell me about project evaluation","69f78d07d1ca14e21a69a3f4","760fce08-06d5-409c-8425-b567fdf5f7f1"
"2026-05-03T03:02:35.115Z","I think I forgot password","69f6b9e2d1ca14e21a699f89","29d9e444-fb0d-4a7a-b299-081765df8edc"
"2026-05-03T02:59:08.358Z","I wanna learn in Vibe platform","69f6b9e2d1ca14e21a699f89","29d9e444-fb0d-4a7a-b299-081765df8edc"
"2026-05-03T02:58:56.938Z","Hi","69f6b9e2d1ca14e21a699f89","29d9e444-fb0d-4a7a-b299-081765df8edc"
"2026-05-01T19:58:04.277Z","what does https://sakha.vicharanashala.ai/ do?","69971f6090760148227c8248","90848402-6a03-4a9d-860e-162d3274de0e"
"2026-05-01T19:57:41.029Z","what is this llm purpose","69971f6090760148227c8248","90848402-6a03-4a9d-860e-162d3274de0e"
"2026-05-01T19:57:00.552Z","about visakha?","69971f6090760148227c8248","90848402-6a03-4a9d-860e-162d3274de0e"
"2026-04-29T12:09:49.421Z","HELP ME PREPARE FOR MERN STAK VIVA","69bad1afb0d076e11b805499","ef1b856b-7d1a-49d2-8b7a-7bf8622477e0"
"2026-04-29T10:55:19.397Z","how to do it","69ad974db0d076e11b7ebd6b","1b04411f-c791-4658-8b73-be4de6475835"
"2026-04-29T10:54:53.685Z","Endorsement requirements","69ad974db0d076e11b7ebd6b","1b04411f-c791-4658-8b73-be4de6475835"
"2026-04-29T10:54:33.108Z","1","69ad974db0d076e11b7ebd6b","1b04411f-c791-4658-8b73-be4de6475835"
"2026-04-29T10:54:12.456Z","tell me about the final project aksians need to do","69ad974db0d076e11b7ebd6b","1b04411f-c791-4658-8b73-be4de6475835"
"2026-04-29T09:52:11.295Z","what are the questions are asked in viva for endrosement","699703c490760148227c61e1","9968cd97-0593-46ce-a270-5f0c3670093e"
"2026-04-29T09:51:09.894Z","each viva how many minutes it can take","699703c490760148227c61e1","7f397448-22a3-4514-a228-ccf4631a09b7"
"2026-04-29T09:50:19.666Z","Viva questions are related to what","699703c490760148227c61e1","7f397448-22a3-4514-a228-ccf4631a09b7"
"2026-04-29T09:49:35.704Z","is everyone needs to attend viva to get certification","699703c490760148227c61e1","7f397448-22a3-4514-a228-ccf4631a09b7"
"2026-04-29T09:49:10.142Z","hi","699703c490760148227c61e1","7f397448-22a3-4514-a228-ccf4631a09b7"
"2026-04-29T09:31:56.069Z","How much marks is required to pass viva?","69989a7e90760148227d632f","f1471140-6c9b-44dd-9fee-692e86b23a37"
"2026-04-29T06:47:43.641Z","explain FAQ 14","6995e3033c35d917fec63779","bfb19440-ee49-47b0-a68f-f91491611dd3"
"2026-04-29T06:07:19.583Z","what can you do","697e0ebfbfb0520d233d3448","57176837-dddf-4387-a1e0-d8b064c24e2d"
